order_id,sub_order_num,order_date,order_status,state,pincode,gst_amount,meesho_price,shipping_charges,total_price
145,938768197643_1,2022-08-06,Cancelled,West Bengal,0,0.0,0,0,0
146,426408564759_1,2022-08-06,Cancelled,Jammu & Kashmir,0,0.0,0,0,0
147,130383665484_1,2022-08-07,Cancelled,Telangana,0,0.0,0,0,0
148,605642620102_1,2022-08-07,Cancelled,Madhya Pradesh,0,0.0,0,0,0
149,570185609650_1,2022-08-07,Cancelled,Madhya Pradesh,0,0.0,0,0,0
150,677211623652_1,2022-08-07,Cancelled,Himachal Pradesh,0,0.0,0,0,0
151,429553639148_1,2022-08-08,Cancelled,Uttar Pradesh,0,0.0,0,0,0
152,748959635571_1,2022-08-08,Cancelled,West Bengal,0,0.0,0,0,0
153,772604862058_1,2022-08-10,Cancelled,Assam,0,0.0,0,0,0
154,387624086840_1,2022-08-11,Cancelled,Tamil Nadu,0,0.0,0,0,0
155,534942511093_1,2022-08-13,Cancelled,Kerala,0,0.0,0,0,0
156,323608154730_1,2022-08-13,Cancelled,Orissa,0,0.0,0,0,0
157,426590723490_1,2022-08-14,Cancelled,Uttar Pradesh,0,0.0,0,0,0
158,263871865116_1,2022-08-14,Cancelled,Uttar Pradesh,0,0.0,0,0,0
159,520331241821_1,2022-08-14,Cancelled,Uttar Pradesh,0,0.0,0,0,0
160,884057591159_1,2022-08-14,Cancelled,Uttar Pradesh,0,0.0,0,0,0
161,593818076639_1,2022-08-14,Cancelled,Bihar,0,0.0,0,0,0
162,400915987718_1,2022-08-14,Cancelled,Uttar Pradesh,0,0.0,0,0,0
163,624275479819_1,2022-08-14,Cancelled,Nehru.   Colony.,0,0.0,0,0,0
164,998981302653_1,2022-08-15,Cancelled,Uttar Pradesh,0,0.0,0,0,0
165,116898224563_1,2022-08-16,Cancelled,Rajasthan,0,0.0,0,0,0
166,185684610641_1,2022-08-16,Cancelled,Odisha,0,0.0,0,0,0
167,605356661364_1,2022-08-17,Cancelled,Telangana,0,0.0,0,0,0
168,137241552481_1,2022-08-18,Cancelled,west Bangol,0,0.0,0,0,0
169,107182927963_1,2022-08-18,Cancelled,Odisha,0,0.0,0,0,0
170,733339429166_1,2022-08-19,Cancelled,Assam,0,0.0,0,0,0
171,381353679397_1,2022-08-19,Cancelled,Up ,0,0.0,0,0,0
172,269627385202_1,2022-08-19,Cancelled,Up ,0,0.0,0,0,0
173,137922314316_1,2022-08-20,Cancelled,Uttar Pradesh,0,0.0,0,0,0
174,918609782308_1,2022-08-20,Cancelled,Haryana,0,0.0,0,0,0
175,523165022965_1,2022-08-21,Cancelled,Tamil Nadu,0,0.0,0,0,0
176,887032986289_1,2022-08-21,Cancelled,Punjab,0,0.0,0,0,0
177,121951310020_1,2022-08-21,Cancelled,Jammu & Kashmir,0,0.0,0,0,0
178,270994880886_1,2022-08-22,Cancelled,Haryana,0,0.0,0,0,0
179,453722335864_1,2022-08-22,Cancelled,Chhattisgarh,0,0.0,0,0,0
180,623328510051_1,2022-08-23,Cancelled,Bihar,0,0.0,0,0,0
181,383743812322_1,2022-08-25,Cancelled,Jharkhand,0,0.0,0,0,0
182,398702250845_1,2022-08-25,Cancelled,Rajasthan,0,0.0,0,0,0
183,516987346340_1,2022-08-25,Cancelled,Jammu & Kashmir,0,0.0,0,0,0
184,302103837288_1,2022-08-27,Cancelled,Andhra Pradesh,0,0.0,0,0,0
185,898495702259_1,2022-08-27,Cancelled,Tamil Nadu,0,0.0,0,0,0
186,799024162777_1,2022-08-28,Cancelled,West Bengal,0,0.0,0,0,0
187,740916316710_1,2022-08-28,Cancelled,Bihar,0,0.0,0,0,0
188,687987764507_1,2022-08-28,Cancelled,Delhi,0,0.0,0,0,0
189,277771506559_1,2022-08-28,Cancelled,Bihar,0,0.0,0,0,0
190,828865464829_1,2022-08-28,Delivered,West Bengal,0,0.0,0,0,0
191,855547223698_1,2022-08-28,Cancelled,Bihar,0,0.0,0,0,0
192,533392281431_1,2022-08-28,Delivered,Odisha,0,0.0,0,0,0
193,676702704307_1,2022-08-28,Delivered,Bihar,0,0.0,0,0,0
194,817910898905_1,2022-08-28,Cancelled,Bihar,0,0.0,0,0,0
195,952025308658_1,2022-08-28,Cancelled,Andaman and Nicobar Islands,0,0.0,0,0,0
196,543476848618_1,2022-08-28,rto,Maharashtra,0,0.0,0,0,0
197,929601676893_1,2022-08-28,Cancelled,Maharashtra,0,0.0,0,0,0
198,878338919487_1,2022-08-29,Cancelled,Jharkhand,0,0.0,0,0,0
199,555002867665_1,2022-08-29,Cancelled,Rajasthan,0,0.0,0,0,0
200,460748174495_1,2022-08-30,Delivered,Uttar Pradesh,0,0.0,0,0,0
201,338379679888_1,2022-08-30,Cancelled,Maharashtra,0,0.0,0,0,0
202,652915591650_1,2022-08-30,Delivered,Kerala,0,0.0,0,0,0
203,330275002150_1,2022-08-30,Cancelled,Tamil Nadu,0,0.0,0,0,0
204,355129275575_1,2022-08-30,Delivered,India,0,0.0,0,0,0
205,624159941368_1,2022-08-31,Delivered,Odisha,0,0.0,0,0,0
206,469860092115_1,2022-08-31,rto,Maharashtra,0,0.0,0,0,0
207,548021683292_1,2022-08-31,Cancelled,Kerala,0,0.0,0,0,0
208,717468980947_1,2022-08-31,rto,Haryana,0,0.0,0,0,0
209,182637707929_1,2022-08-31,rto,Jharkhand,0,0.0,0,0,0
210,765196624540_1,2022-08-31,rto,Rajasthan,0,0.0,0,0,0
211,694787246193_1,2022-08-31,Cancelled,Telangana,0,0.0,0,0,0
212,653631357267_1,2022-08-31,Delivered,Haryana,0,0.0,0,0,0
213,812064549286_1,2022-08-31,Cancelled,West Bengal,0,0.0,0,0,0
